ticker,name,exchange,asset_type,sector,industry,theme,in_master_universe,in_active_universe,price_ready,momentum_ready,market_direction_ready,liquidity_ready,correlation_ready,fundamentals_ready,dcf_ready,peer_ready,earnings_ready,analyst_estimates_ready,portfolio_ready,overall_readiness_state,ready_features,partial_features,blocked_features,excluded_features,missing_data,next_action,updated_at
JYNT,The Joint Corp. - Common Stock,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JYNT.,2026-05-28T04:09:07.770310+00:00
JZXN,"Jiuzi Holdings, Inc. - Ordinary Shares",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JZXN.,2026-05-28T04:09:07.773201+00:00
KALA,"KALA BIO, Inc. - Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KALA.,2026-05-28T04:09:07.776321+00:00
KALU,Kaiser Aluminum Corporation - Common Stock,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KALU.,2026-05-28T04:09:07.780259+00:00
KALV,"KalVista Pharmaceuticals, Inc. - Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KALV.,2026-05-28T04:09:07.783540+00:00
KARO,Karooooo Ltd. - Ordinary shares,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KARO.,2026-05-28T04:09:07.786792+00:00
KBON,Karbon Capital Partners Corp. - Class A Ordinary Shares,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KBON.,2026-05-28T04:09:07.790264+00:00
KBSX,FST Corp. - Ordinary Shares,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KBSX.,2026-05-28T04:09:07.793339+00:00
KCHV,Kochav Defense Acquisition Corp. - Class A Ordinary Shares,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KCHV.,2026-05-28T04:09:07.796769+00:00
KDK,"Kodiak AI, Inc. - Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for KDK.,2026-05-28T04:09:07.800312+00:00
